Starting simulation with mode=ttft, load_scenario=high...
[116/235] User 7 | target_len=1544 | ttft = 6.7101
[117/235] User 6 | target_len=5016 | ttft = 5.0705
[119/235] User 2 | target_len=5155 | ttft = 0.5098
[110/235] User 4 | target_len=13924 | ttft = 49.1499
[121/235] User 4 | target_len=1544 | ttft = 1.9328
[120/235] User 3 | target_len=4965 | ttft = 1.9278
[122/235] User 5 | target_len=4981 | ttft = 0.4923
[123/235] User 3 | target_len=1502 | ttft = 0.1510
[124/235] User 5 | target_len=5140 | ttft = 0.5031
[125/235] User 5 | target_len=5030 | ttft = 0.5700
[128/235] User 1 | target_len=1487 | ttft = 1.6770
[127/235] User 2 | target_len=1537 | ttft = 1.6725
[118/235] User 4 | target_len=13993 | ttft = 38.2916
[129/235] User 3 | target_len=4968 | ttft = 0.4860
[130/235] User 2 | target_len=4980 | ttft = 0.4905
[133/235] User 5 | target_len=100 | ttft = 1.3676
[136/235] User 3 | target_len=95 | ttft = 0.0563
[132/235] User 8 | target_len=5042 | ttft = 0.4952
[126/235] User 7 | target_len=14198 | ttft = 25.1671
[134/235] User 4 | target_len=5003 | ttft = 1.9404
[135/235] User 4 | target_len=1465 | ttft = 1.9370
[142/235] User 1 | target_len=96 | ttft = 1.3679
[131/235] User 7 | target_len=14122 | ttft = 18.4041
[140/235] User 8 | target_len=1485 | ttft = 0.3542
[137/235] User 8 | target_len=14224 | ttft = 18.2725
[144/235] User 1 | target_len=4998 | ttft = 0.4895
[138/235] User 7 | target_len=14092 | ttft = 24.4871
[145/235] User 7 | target_len=5021 | ttft = 3.0971
[146/235] User 6 | target_len=5063 | ttft = 2.1119
[139/235] User 2 | target_len=13852 | ttft = 42.9011
[141/235] User 1 | target_len=14046 | ttft = 44.5304
[149/235] User 5 | target_len=5059 | ttft = 3.1117
[150/235] User 7 | target_len=1484 | ttft = 0.6084
[151/235] User 4 | target_len=5079 | ttft = 0.4943
[143/235] User 1 | target_len=14251 | ttft = 63.8784
[153/235] User 2 | target_len=1474 | ttft = 1.4855
[147/235] User 4 | target_len=14011 | ttft = 45.0934
[155/235] User 1 | target_len=1515 | ttft = 0.2563
[154/235] User 7 | target_len=4934 | ttft = 14.6478
[148/235] User 3 | target_len=14183 | ttft = 49.5724
[152/235] User 3 | target_len=14088 | ttft = 30.6200
[157/235] User 8 | target_len=5018 | ttft = 6.7194
[160/235] User 7 | target_len=111 | ttft = 0.1715
[158/235] User 6 | target_len=1483 | ttft = 3.2582
[161/235] User 3 | target_len=4913 | ttft = 2.0532
[162/235] User 8 | target_len=5105 | ttft = 0.9340
[156/235] User 8 | target_len=14154 | ttft = 33.2387
[163/235] User 6 | target_len=124 | ttft = 5.3216
[159/235] User 4 | target_len=14157 | ttft = 26.3014
[167/235] User 8 | target_len=1521 | ttft = 0.8161
[168/235] User 5 | target_len=4984 | ttft = 0.8109
[164/235] User 2 | target_len=5055 | ttft = 25.8224
[169/235] User 4 | target_len=5110 | ttft = 1.4057
[166/235] User 5 | target_len=5049 | ttft = 13.9377
[165/235] User 2 | target_len=14107 | ttft = 29.0864
[172/235] User 4 | target_len=111 | ttft = 0.4947
[171/235] User 7 | target_len=5040 | ttft = 12.5616
[173/235] User 1 | target_len=4998 | ttft = 5.9309
[170/235] User 6 | target_len=13811 | ttft = 21.2369
[174/235] User 7 | target_len=4895 | ttft = 9.1554
[175/235] User 2 | target_len=5092 | ttft = 9.1610
[177/235] User 5 | target_len=14051 | ttft = 17.5746
[176/235] User 8 | target_len=14168 | ttft = 25.8048
[183/235] User 6 | target_len=5006 | ttft = 0.9500
[181/235] User 5 | target_len=5079 | ttft = 9.7943
[180/235] User 8 | target_len=1503 | ttft = 2.8152
[178/235] User 1 | target_len=14003 | ttft = 33.7460
[185/235] User 6 | target_len=4936 | ttft = 2.2925
[182/235] User 1 | target_len=5085 | ttft = 16.8632
[187/235] User 7 | target_len=5001 | ttft = 0.6014
[186/235] User 8 | target_len=1470 | ttft = 0.1526
[188/235] User 2 | target_len=5066 | ttft = 0.4964
[179/235] User 6 | target_len=13852 | ttft = 54.5267
[190/235] User 6 | target_len=92 | ttft = 9.9945
[184/235] User 7 | target_len=13969 | ttft = 26.6433
[189/235] User 4 | target_len=1517 | ttft = 9.9988
[191/235] User 6 | target_len=95 | ttft = 9.9916
[193/235] User 4 | target_len=4970 | ttft = 0.8157
[192/235] User 7 | target_len=14040 | ttft = 15.6474
[195/235] User 6 | target_len=4944 | ttft = 7.3407
[197/235] User 2 | target_len=98 | ttft = 0.4830
[200/235] User 6 | target_len=105 | ttft = 0.4876
[194/235] User 4 | target_len=13955 | ttft = 18.7425
[199/235] User 8 | target_len=5006 | ttft = 4.3063
[198/235] User 2 | target_len=5144 | ttft = 17.0895
[196/235] User 4 | target_len=13925 | ttft = 20.4998
[204/235] User 4 | target_len=5000 | ttft = 2.4644
[203/235] User 4 | target_len=4947 | ttft = 3.1924
[206/235] User 6 | target_len=86 | ttft = 0.4958
[202/235] User 6 | target_len=5104 | ttft = 10.9203
[207/235] User 8 | target_len=110 | ttft = 0.1353
[201/235] User 5 | target_len=5114 | ttft = 10.8652
[205/235] User 7 | target_len=14168 | ttft = 19.9220
[208/235] User 7 | target_len=1498 | ttft = 1.4860
[210/235] User 8 | target_len=5056 | ttft = 0.5279
[211/235] User 7 | target_len=1536 | ttft = 0.1791
[213/235] User 1 | target_len=1461 | ttft = 0.1712
[209/235] User 6 | target_len=14127 | ttft = 13.3881
[215/235] User 1 | target_len=120 | ttft = 0.9430
[216/235] User 8 | target_len=5029 | ttft = 0.9380
[214/235] User 7 | target_len=4990 | ttft = 7.0278
[217/235] User 8 | target_len=5012 | ttft = 0.4906
[218/235] User 6 | target_len=5083 | ttft = 0.4933
[219/235] User 1 | target_len=5050 | ttft = 4.3309
[212/235] User 7 | target_len=14026 | ttft = 34.9028
[221/235] User 1 | target_len=4926 | ttft = 1.9368
[223/235] User 6 | target_len=1457 | ttft = 1.9255
