Starting simulation with mode=tpot, load_scenario=high...
[116/269] User 8 | target_len=114 | tpot = 34.1696
[115/269] User 1 | target_len=14160 | tpot = 19.1581
[108/269] User 8 | target_len=13898 | tpot = 9.3545
[117/269] User 4 | target_len=86 | tpot = 17.7900
[118/269] User 4 | target_len=14029 | tpot = 17.8904
[119/269] User 2 | target_len=14059 | tpot = 25.0667
[122/269] User 5 | target_len=1485 | tpot = 20.2994
[123/269] User 7 | target_len=1470 | tpot = 22.5028
[121/269] User 1 | target_len=4946 | tpot = 18.5347
[120/269] User 2 | target_len=13888 | tpot = 18.5329
[124/269] User 8 | target_len=4953 | tpot = 22.1432
[125/269] User 4 | target_len=13967 | tpot = 21.6890
[128/269] User 4 | target_len=1493 | tpot = 42.0871
[126/269] User 6 | target_len=96 | tpot = 21.7698
[127/269] User 4 | target_len=1542 | tpot = 26.4345
[130/269] User 1 | target_len=4904 | tpot = 42.0945
[129/269] User 7 | target_len=14035 | tpot = 27.3806
[131/269] User 7 | target_len=1484 | tpot = 25.8483
[132/269] User 1 | target_len=13896 | tpot = 25.5800
[133/269] User 4 | target_len=1492 | tpot = 42.8283
[136/269] User 4 | target_len=91 | tpot = 26.2384
[135/269] User 4 | target_len=5085 | tpot = 27.6523
[134/269] User 3 | target_len=13705 | tpot = 27.6470
[138/269] User 4 | target_len=1461 | tpot = 29.4480
[137/269] User 6 | target_len=13854 | tpot = 21.4059
[141/269] User 7 | target_len=4971 | tpot = 27.9186
[139/269] User 4 | target_len=13833 | tpot = 22.6105
[140/269] User 4 | target_len=14260 | tpot = 21.5163
[142/269] User 2 | target_len=13960 | tpot = 20.5931
[144/269] User 5 | target_len=1509 | tpot = 21.5637
[143/269] User 3 | target_len=4990 | tpot = 21.5648
[146/269] User 6 | target_len=1414 | tpot = 21.8278
[145/269] User 2 | target_len=14083 | tpot = 21.8258
[148/269] User 5 | target_len=14059 | tpot = 21.0938
[149/269] User 7 | target_len=4969 | tpot = 21.1838
[147/269] User 7 | target_len=14155 | tpot = 17.2829
[151/269] User 1 | target_len=5016 | tpot = 22.3068
[150/269] User 7 | target_len=4987 | tpot = 21.3149
[153/269] User 6 | target_len=14073 | tpot = 20.4995
[152/269] User 2 | target_len=13925 | tpot = 16.3845
[155/269] User 2 | target_len=4971 | tpot = 21.7428
[157/269] User 8 | target_len=1495 | tpot = 22.3550
[158/269] User 1 | target_len=4877 | tpot = 26.8545
[159/269] User 7 | target_len=14184 | tpot = 27.0257
[160/269] User 7 | target_len=1463 | tpot = 39.7751
[161/269] User 7 | target_len=14081 | tpot = 31.4425
[156/269] User 5 | target_len=4954 | tpot = 15.5714
[154/269] User 3 | target_len=14021 | tpot = 10.9287
[162/269] User 8 | target_len=4988 | tpot = 25.0682
[166/269] User 5 | target_len=5064 | tpot = 31.9859
[164/269] User 3 | target_len=4986 | tpot = 30.1951
[165/269] User 6 | target_len=1515 | tpot = 31.9881
[167/269] User 2 | target_len=4933 | tpot = 35.9234
[163/269] User 1 | target_len=4869 | tpot = 23.9153
[168/269] User 6 | target_len=1503 | tpot = 40.9516
[169/269] User 3 | target_len=4940 | tpot = 42.8561
[170/269] User 1 | target_len=95 | tpot = 41.5557
[173/269] User 4 | target_len=95 | tpot = 41.2786
[172/269] User 1 | target_len=5083 | tpot = 42.3632
[171/269] User 1 | target_len=4998 | tpot = 42.3562
[174/269] User 2 | target_len=1419 | tpot = 41.1175
[175/269] User 1 | target_len=13844 | tpot = 41.2906
[176/269] User 2 | target_len=5030 | tpot = 41.9203
[179/269] User 3 | target_len=93 | tpot = 35.3429
[177/269] User 8 | target_len=4931 | tpot = 28.8060
[180/269] User 5 | target_len=1464 | tpot = 42.7029
[178/269] User 3 | target_len=14161 | tpot = 31.2281
[183/269] User 5 | target_len=112 | tpot = 41.5644
[181/269] User 5 | target_len=4966 | tpot = 33.7999
[182/269] User 8 | target_len=4994 | tpot = 42.7649
[184/269] User 7 | target_len=4911 | tpot = 34.2165
[185/269] User 4 | target_len=14238 | tpot = 34.8495
[186/269] User 1 | target_len=14109 | tpot = 29.9234
[187/269] User 7 | target_len=5083 | tpot = 32.5128
[188/269] User 1 | target_len=4910 | tpot = 21.5917
[189/269] User 5 | target_len=13900 | tpot = 22.0591
[190/269] User 4 | target_len=1495 | tpot = 21.4946
[192/269] User 1 | target_len=4890 | tpot = 25.0769
[193/269] User 6 | target_len=4986 | tpot = 33.0940
[194/269] User 6 | target_len=1523 | tpot = 43.2627
[191/269] User 1 | target_len=4949 | tpot = 18.4890
[196/269] User 4 | target_len=1431 | tpot = 41.7738
[195/269] User 3 | target_len=14251 | tpot = 25.3193
[197/269] User 3 | target_len=5055 | tpot = 33.6325
[199/269] User 8 | target_len=4997 | tpot = 43.0617
[198/269] User 6 | target_len=5126 | tpot = 40.9881
[202/269] User 8 | target_len=5189 | tpot = 30.1032
[201/269] User 8 | target_len=108 | tpot = 25.2536
[200/269] User 5 | target_len=14063 | tpot = 25.2508
[204/269] User 8 | target_len=14022 | tpot = 33.4955
[206/269] User 8 | target_len=4941 | tpot = 25.0319
[203/269] User 5 | target_len=14073 | tpot = 21.3743
[205/269] User 7 | target_len=13968 | tpot = 21.2041
[207/269] User 6 | target_len=4855 | tpot = 17.4641
[208/269] User 8 | target_len=5028 | tpot = 21.7950
[209/269] User 7 | target_len=4949 | tpot = 21.7975
[210/269] User 6 | target_len=13995 | tpot = 21.7996
[211/269] User 7 | target_len=1464 | tpot = 21.1327
[215/269] User 6 | target_len=5069 | tpot = 35.5446
[214/269] User 5 | target_len=4925 | tpot = 26.1528
[213/269] User 6 | target_len=13866 | tpot = 22.0012
[216/269] User 5 | target_len=4950 | tpot = 43.2249
[212/269] User 5 | target_len=5025 | tpot = 22.0025
[223/269] User 3 | target_len=103 | tpot = 44.2234
[218/269] User 8 | target_len=1440 | tpot = 21.8606
[219/269] User 6 | target_len=1503 | tpot = 26.5356
[217/269] User 1 | target_len=13841 | tpot = 21.8580
[220/269] User 7 | target_len=14005 | tpot = 44.2115
[226/269] User 3 | target_len=4967 | tpot = 41.9302
[221/269] User 3 | target_len=1472 | tpot = 21.5229
[222/269] User 1 | target_len=13874 | tpot = 21.5239
[224/269] User 7 | target_len=13960 | tpot = 21.5209
[230/269] User 6 | target_len=116 | tpot = 41.5581
[225/269] User 1 | target_len=4950 | tpot = 20.9901
[229/269] User 3 | target_len=4872 | tpot = 20.9885
[228/269] User 3 | target_len=14027 | tpot = 20.9869
[231/269] User 1 | target_len=5056 | tpot = 42.0202
